"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"mushroom_data.csv",5686,113,"Rounded LR",1.72158718109131,NA,82,1,1,8.41400786772328e-24,8.41400868078968e-24,38,142387808669
"mushroom_data.csv",5686,113,"Lasso",1.5516140460968,0.000174818529733206,26,1,1,2.19901649687616e-05,2.53156658871236e-05,0,16.0468520553611
"mushroom_data.csv",5686,113,"Rounded Lasso",1.61654996871948,0.000174818529733206,25,1,1,2.82948198446136e-19,3.29951589818352e-19,0,166
"mushroom_data.csv",5686,113,"NLLCD",81.213376045227,0,70,1,1,1.18699179034251e-20,1.1072413586926e-20,1,10
"mushroom_data.csv",5686,113,"NLLCD with CV (lambda_min)",2697.77322411537,0.0268816641123175,18,1,1,2.72746899101238e-21,2.77125645989644e-21,0,10
"mushroom_data.csv",5686,113,"NLLCD with CV (lambda_1se)",2697.77322411537,0.0394568868965221,18,1,1,2.72746899101238e-21,2.77125645989644e-21,0,10
"spambase_data.csv",3220,57,"FasterRisk",817.176723957062,NA,35,0.973627220970207,0.967560250534277,0.0749482963443083,0.078118755355595,1,10
"spambase_data.csv",3220,57,"LR",0.561905860900879,NA,57,0.978645749674287,0.970343722932409,0.0526233018121346,0.0580232135000407,0.740188229688459,84.3633849652268
"spambase_data.csv",3220,57,"Rounded LR",0.592687845230103,NA,57,0.978641085048699,0.970330665204192,0.0526546838146082,0.0580224740236245,580,66074
"spambase_data.csv",3220,57,"Lasso",8.57900214195251,0.000345314572120176,48,0.977230948452241,0.972822515005509,0.0545964041687969,0.0579543080652697,0.273684940509342,4.5013779525986
"spambase_data.csv",3220,57,"Rounded Lasso",8.61545300483704,0.000345314572120176,46,0.972295774579333,0.967049910989817,0.0596042328950001,0.0650896204187709,18,300
"spambase_data.csv",3220,57,"NLLCD",3.5282769203186,0,43,0.97360491189131,0.96838723998799,0.0607067888349035,0.0642686897369722,2,10
"spambase_data.csv",3220,57,"NLLCD with CV (lambda_min)",7516.18313789368,0.000175908008890733,39,0.973551572911749,0.969239256754111,0.0609370194246542,0.0636481634260873,1,10
"spambase_data.csv",3220,57,"NLLCD with CV (lambda_1se)",7516.18313789368,0.00378982316608633,12,0.961497166341362,0.960976979225154,0.0739533195640354,0.0752609595850793,0,4
