"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_5000_10_0.5_1_4_data.csv",5000,10,"NLLCD with CV (lambda_min)",128.098140954971,0.00165771043510691,4,0.768533013802337,0.704951298701299,0.194171957542296,0.216065218501516,0,10
"sim_5000_10_0.5_1_4_data.csv",5000,10,"NLLCD with CV (lambda_1se)",128.098140954971,0.0357142886742217,3,0.761044086092225,0.699878246753247,0.196478467038344,0.216785696857154,0,10
"sim_5000_10_0.5_1_5_data.csv",5000,10,"FasterRisk",5.23468899726868,NA,7,0.778536359324868,0.759131493506494,0.344939444187625,0.416077337294898,1,10
"sim_5000_10_0.5_1_5_data.csv",5000,10,"LR",0.0201880931854248,NA,10,0.780624147555809,0.768262987012987,0.184979318421141,0.196836783062121,0.157205336000603,2.57154330354324
"sim_5000_10_0.5_1_5_data.csv",5000,10,"Rounded LR",0.0339009761810303,NA,7,0.779570652942649,0.765625,0.185078775648558,0.196008310156445,2,25
"sim_5000_10_0.5_1_5_data.csv",5000,10,"Lasso",0.606175899505615,0.00211034353550606,4,0.78043933797528,0.772321428571428,0.18502676329139,0.197004419791263,0,2.09934023564747
"sim_5000_10_0.5_1_5_data.csv",5000,10,"Rounded Lasso",0.636688947677612,0.00211034353550606,2,0.739189279572253,0.691964285714286,0.189239583103223,0.206222595294169,0,2
"sim_5000_10_0.5_1_5_data.csv",5000,10,"NLLCD",0.582569122314453,0,7,0.778536359324868,0.759131493506494,0.185263381131867,0.198398197243368,1,10
"sim_5000_10_0.5_1_5_data.csv",5000,10,"NLLCD with CV (lambda_min)",97.979975938797,0.00851949327440589,3,0.767165129840331,0.760957792207792,0.186341082822435,0.19626363549157,0,10
"sim_5000_10_0.5_1_5_data.csv",5000,10,"NLLCD with CV (lambda_1se)",97.979975938797,0.0580426320024537,2,0.740275575885854,0.717938311688312,0.189268882418793,0.203939603962178,0,10
"sim_5000_10_0.5_1_6_data.csv",5000,10,"FasterRisk",4.45199394226074,NA,6,0.756940163455365,0.730092036814726,0.375767116500764,0.417889418594826,1,8
"sim_5000_10_0.5_1_6_data.csv",5000,10,"LR",0.0156989097595215,NA,10,0.761634528041358,0.738295318127251,0.19048410875066,0.206971880810774,0.183453215576275,2.3608144480897
"sim_5000_10_0.5_1_6_data.csv",5000,10,"Rounded LR",0.0266158580780029,NA,7,0.759889244811121,0.732092837134854,0.190675762408141,0.208637537913994,1,13
"sim_5000_10_0.5_1_6_data.csv",5000,10,"Lasso",0.486695051193237,0.00165259963497882,4,0.761365425867992,0.742096838735494,0.190541528473333,0.206655534201248,0,1.80434101310068
"sim_5000_10_0.5_1_6_data.csv",5000,10,"Rounded Lasso",0.509963035583496,0.00165259963497882,2,0.730418195819962,0.69047619047619,0.192943603339985,0.212833883892887,0,2
"sim_5000_10_0.5_1_6_data.csv",5000,10,"NLLCD",0.308746099472046,0,6,0.756940163455365,0.730092036814726,0.190868644889766,0.208878726198046,1,10
"sim_5000_10_0.5_1_6_data.csv",5000,10,"NLLCD with CV (lambda_min)",130.419010162354,0.00117951374472549,5,0.756119253792396,0.738895558223289,0.190987027687122,0.207425029034641,0.5,10
"sim_5000_10_0.5_1_6_data.csv",5000,10,"NLLCD with CV (lambda_1se)",130.419010162354,0.0803593359626336,2,0.730418195819962,0.69047619047619,0.192943603339985,0.212833883892892,0,10
"sim_5000_10_0.5_1_7_data.csv",5000,10,"FasterRisk",6.0393238067627,NA,7,0.803336530380913,0.84775641025641,0.334076163918971,0.310457810551224,1,9
"sim_5000_10_0.5_1_7_data.csv",5000,10,"LR",0.0248479843139648,NA,10,0.806408208251647,0.850160256410256,0.173651398497849,0.163455991549013,0.213650930122071,2.38094298854266
"sim_5000_10_0.5_1_7_data.csv",5000,10,"Rounded LR",0.0396640300750732,NA,7,0.805178513024048,0.853766025641026,0.173862722690997,0.162807021336301,1,11
"sim_5000_10_0.5_1_7_data.csv",5000,10,"Lasso",0.972316026687622,0.00173713453210677,5,0.806293239348456,0.85556891025641,0.17365780466515,0.163609819877447,0.000912115281630235,2.03888935619703
"sim_5000_10_0.5_1_7_data.csv",5000,10,"Rounded Lasso",1.02181911468506,0.00173713453210677,3,0.789149751756776,0.810697115384615,0.175981339007959,0.17224253485333,0,5
"sim_5000_10_0.5_1_7_data.csv",5000,10,"NLLCD",9.15124416351318,0,7,0.80334565108722,0.848157051282051,0.174031816376414,0.163269220169666,1,10
"sim_5000_10_0.5_1_7_data.csv",5000,10,"NLLCD with CV (lambda_min)",76.4524819850922,2.40573393879238e-05,7,0.80334565108722,0.848157051282051,0.174031816376414,0.163269220169666,1,10
"sim_5000_10_0.5_1_7_data.csv",5000,10,"NLLCD with CV (lambda_1se)",76.4524819850922,0.0353113451345301,2,0.776570697634825,0.780448717948718,0.177519367325308,0.178197219652264,0,10
"sim_5000_10_0.5_1_8_data.csv",5000,10,"FasterRisk",21.5129768848419,NA,5,0.804917731789098,0.776771336553945,0.240187684098759,0.286761578384175,0.5,10
"sim_5000_10_0.5_1_8_data.csv",5000,10,"LR",0.0848379135131836,NA,10,0.807258902295845,0.770531400966183,0.173933200816036,0.18956249877881,0.231118780191814,2.69915680245359
"sim_5000_10_0.5_1_8_data.csv",5000,10,"Rounded LR",0.179765939712524,NA,5,0.805194186174685,0.776972624798712,0.174365987173139,0.189603107521748,1,12
"sim_5000_10_0.5_1_8_data.csv",5000,10,"Lasso",3.71650385856628,0.00155764081862811,5,0.807087950786473,0.771940418679549,0.173951821990178,0.189686555629117,0.0284914799217524,2.33013215393171
"sim_5000_10_0.5_1_8_data.csv",5000,10,"Rounded Lasso",4.61354088783264,0.00155764081862811,4,0.801654112064723,0.771135265700483,0.174997282227055,0.191814720032017,0,5
"sim_5000_10_0.5_1_8_data.csv",5000,10,"NLLCD",0.353922128677368,0,5,0.804390698058939,0.775563607085346,0.175027223182143,0.19032691914151,1,10
"sim_5000_10_0.5_1_8_data.csv",5000,10,"NLLCD with CV (lambda_min)",93.0336339473724,0.00347497886885174,5,0.804390698058939,0.775563607085346,0.175027223182143,0.19032691914151,1,10
"sim_5000_10_0.5_1_8_data.csv",5000,10,"NLLCD with CV (lambda_1se)",93.0336339473724,0.0347497886885174,3,0.785439994257824,0.755837359098229,0.178924964259836,0.19467124846267,0,10
"sim_5000_10_0.5_1_9_data.csv",5000,10,"FasterRisk",7.42544412612915,NA,6,0.767271814382327,0.747098839535814,0.413325513862375,0.413703710925157,1.5,8
